college,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Alabama,25.0,199.31529411764706,95.707912,57.294117647058826,8.117647058823529,3.1,1.4941176470588236,-7.270588235294118,0.060999999999999985,0.12370588235294117,0.1918235294117647,0.5124117647058823,0.12505882352941175
Alabama A&M,25.0,210.82,99.79024,26.0,2.2,2.2,0.2,-11.9,0.057,0.174,0.127,0.436,0.03
Alabama Huntsville,28.0,185.42,72.57472,18.0,2.6,1.1,3.2,-0.5,0.009,0.079,0.119,0.4639999999999999,0.37
Alabama-Birmingham,25.25,194.31,93.32655399999999,30.25,2.7,1.3,0.8999999999999999,-0.40000000000000013,0.021500000000000002,0.11075,0.208,0.40275,0.14625
Albany State (GA),40.0,205.74,97.52228,12.0,0.3,1.1,0.3,2.6,0.068,0.103,0.025,0.4,0.046
American International,33.0,195.58,95.25432,78.0,11.7,3.0,4.0,5.6,0.0279999999999999,0.075,0.139,0.662,0.172
American University,32.0,190.5,86.18248,2.0,12.0,3.0,3.5,14.1,0.016,0.072,0.136,0.655,0.149
Arizona,23.285714285714285,199.02714285714285,97.87867371428571,51.166666666666664,6.830952380952381,2.9428571428571426,1.7095238095238094,-5.621428571428571,0.05599999999999999,0.13464285714285712,0.182,0.4859761904761905,0.13752380952380952
Arizona State,26.166666666666668,199.81333333333336,102.398394,49.333333333333336,4.858333333333333,2.441666666666667,0.6833333333333332,-2.5333333333333337,0.07558333333333331,0.15291666666666667,0.18666666666666665,0.528,0.09291666666666666
Arkansas,24.7,198.628,99.0871724,41.15,4.955,2.535,1.275,-6.305000000000001,0.0686,0.15639999999999998,0.17529999999999998,0.4952,0.13485
Arkansas-Little Rock,26.75,196.215,91.85238,23.25,2.0,1.2,0.45,-7.775,0.12675,0.11299999999999999,0.206,0.4195,0.09525
Auburn,26.9,200.91400000000002,99.9263176,47.1,6.83,3.31,1.3199999999999998,-3.9,0.0638,0.13940000000000002,0.1839,0.471,0.1274
Auburn-Montgomery,25.0,205.74,99.79024,5.0,0.0,1.2,0.2,-20.6,0.143,0.222,0.256,0.0,0.143
Augsburg,22.0,203.2,99.79024,49.0,3.2,1.5,0.2,4.1,0.088,0.135,0.2269999999999999,0.478,0.061
Augusta State,24.0,210.82,138.34556,21.0,2.1,1.3,0.1,-6.1,0.1669999999999999,0.15,0.204,0.5529999999999999,0.0409999999999999
Augustana (SD),29.0,210.82,104.32616,70.0,2.2,2.4,0.2,-11.1,0.089,0.196,0.119,0.517,0.039
Austin Peay,23.0,195.58,97.52228,58.5,6.0,2.5,1.55,-12.15,0.045,0.1205,0.173,0.488,0.136
Ball State,22.5,199.39,98.65626,13.5,3.3000000000000003,1.7000000000000002,0.4,-3.65,0.10400000000000001,0.151,0.271,0.514,0.14800000000000002
Barton CC,23.0,220.98,111.13004,3.0,2.3,2.7,0.3,-22.1,0.061,0.231,0.228,0.363,0.077
Baylor,23.916666666666668,199.81333333333336,98.92085533333334,37.416666666666664,5.2250000000000005,2.4166666666666665,1.3333333333333333,4.441666666666666,0.05299999999999999,0.1365833333333333,0.18416666666666662,0.4955833333333333,0.12949999999999998
Belmont,23.0,190.5,78.471416,23.0,3.0,0.8,0.7,1.4,0.019,0.1,0.217,0.485,0.147
Blinn,23.0,208.28,104.32616,24.0,3.0,3.2,0.3,5.4,0.15,0.162,0.1639999999999999,0.417,0.039
Boise State,25.6,201.168,96.3429408,30.0,4.0200000000000005,2.38,1.56,-4.62,0.0422,0.14639999999999997,0.15139999999999998,0.46399999999999997,0.11839999999999999
Boston College,23.666666666666668,195.01555555555558,95.50631555555555,47.666666666666664,5.2444444444444445,2.4444444444444446,1.2444444444444445,-0.7888888888888889,0.06499999999999997,0.11655555555555555,0.1814444444444444,0.49,0.13555555555555554
Boston U.,29.0,195.58,92.98636,24.0,2.3,1.0,0.2,-8.8,0.036,0.104,0.178,0.417,0.04
Bowling Green,23.0,196.42666666666665,95.25432,52.666666666666664,5.366666666666667,1.8333333333333333,2.3000000000000003,-7.233333333333334,0.043000000000000003,0.09100000000000001,0.1723333333333333,0.4883333333333333,0.19966666666666666
Bradley,24.666666666666668,200.66,98.883056,45.0,5.8999999999999995,1.9666666666666668,1.3666666666666665,3.466666666666667,0.05166666666666663,0.11133333333333334,0.17499999999999996,0.5033333333333333,0.14266666666666666
Brigham Young,26.0,205.74,103.418976,47.0,4.985714285714286,2.942857142857143,0.7999999999999999,-5.428571428571429,0.06599999999999999,0.14714285714285708,0.179,0.47528571428571426,0.075
Brigham Young-Hawaii,24.0,175.26,74.84268,4.0,1.8,1.0,0.8,2.7,0.087,0.105,0.192,0.451,0.25
Bucknell,22.0,210.82,108.408488,20.0,3.8,2.6,0.4,-20.3,0.089,0.206,0.192,0.48,0.0579999999999999
Butler,21.5,196.85,93.893544,68.0,4.5,1.65,1.55,-5.15,0.028999999999999998,0.11049999999999999,0.16449999999999998,0.5229999999999999,0.1885
Butler CC,23.0,203.2,98.883056,77.0,8.2,2.7,1.8,-5.1,0.027,0.1169999999999999,0.206,0.503,0.15
Cal State-Bakersfield,24.0,203.2,108.408488,15.0,2.7,2.1,0.1,11.7,0.087,0.212,0.173,0.541,0.03
Cal State-Fullerton,25.4,195.57999999999998,93.89354399999999,29.8,4.779999999999999,1.9599999999999997,0.6799999999999999,53.879999999999995,0.0378,0.1182,0.1676,0.41340000000000005,0.0998
Cal State-San Bernardino,28.0,203.2,115.66596,56.0,6.4,4.0,0.6,2.4,0.086,0.204,0.195,0.5579999999999999,0.059
Cal-Santa Barbara,23.0,190.5,90.7184,5.0,2.4,0.6,0.6,-3.5,0.0,0.07,0.196,0.316,0.125
California,23.666666666666668,200.4011111111111,100.02295022222222,43.05555555555556,6.383333333333334,2.8111111111111113,1.6777777777777778,-5.805555555555555,0.06466666666666666,0.12688888888888888,0.18255555555555555,0.4977777777777778,0.12416666666666666
California-Berkeley,25.0,190.5,88.45044,15.0,4.1,1.5,2.0,-7.8,0.0139999999999999,0.095,0.141,0.523,0.204
